Column1;bus0;zone_bus0;bus1;zone_bus1;loading_percent;loading_MW;rated_capacity_MW;type;;
22;NO1 10;NO_2;NO1 19;NO_2;4.84;90.89;1876.85;AC Line;;
11;FI1 2;FI;FI1 6;FI;4.81;171.87;3574.95;AC Line;;
16;FI1 6;FI;FI1 8;FI;4.68;83.68;1787.48;AC Line;;
63;SE1 1;SE_3;SE1 6;SE_3;4.28;153.03;3574.95;AC Line;;
8;FI1 1;FI;SE1 12;SE_1;4.14;74.05;1787.48;AC Line;;
21;NO1 1;NO_4;NO1 13;NO_4;4.10;153.74;3753.70;AC Line;;
24;NO1 10;NO_2;NO1 22;NO_2;4.03;156.73;3887.76;AC Line;;
17;FI1 7;FI;FI1 8;FI;3.83;137.05;3574.95;AC Line;;
62;SE1 1;SE_3;SE1 15;SE_2;3.80;135.82;3574.95;AC Line;;
30;NO1 11;NO_1;NO1 5;NO_1;3.01;117.22;3887.76;AC Line;;
6;FI1 1;FI;FI1 8;FI;2.98;212.88;7149.91;AC Line;;
7;FI1 1;FI;FI1 8;FI;2.98;101.12;3396.21;AC Line;;
3;FI1 1;FI;FI1 3;FI;2.94;157.66;5362.43;AC Line;;
84;SE1 18;SE_3;SE1 2;SE_3;2.84;101.52;3574.95;AC Line;;
10;FI1 2;FI;FI1 5;FI;2.81;100.37;3574.95;AC Line;;
50;NO1 22;NO_2;NO1 27;NO_2;2.55;47.89;1876.85;AC Line;;
88;SE1 2;SE_3;SE1 23;SE_3;1.77;103.37;5853.99;AC Line;;
27;NO1 11;NO_1;NO1 19;NO_2;1.48;70.27;4759.16;AC Line;;
57;NO1 26;NO_1;NO1 6;NO_3;1.26;12.63;1005.46;AC Line;;
58;NO1 3;NO_2;NO1 7;NO_5;1.10;11.04;1005.46;AC Line;;
55;NO1 24;NO_3;NO1 9;NO_3;1.05;30.36;2882.31;AC Line;;
82;SE1 17;SE_3;SE1 5;SE_4;0.86;29.32;3396.21;AC Line;;
81;SE1 17;SE_3;SE1 5;SE_4;0.86;15.43;1787.48;AC Line;;
12;FI1 3;FI;NO1 4;NO_4;0.45;2.21;491.56;AC Line;;
5;FI1 1;FI;FI1 6;FI;0.36;12.31;3396.21;AC Line;;
4;FI1 1;FI;FI1 6;FI;0.36;6.48;1787.48;AC Line;;
25;NO1 10;NO_2;NO1 27;NO_2;0.36;10.75;3016.37;AC Line;;
64;SE1 10;SE_3;SE1 19;SE_3;0.23;4.03;1787.48;AC Line;;
9;FI1 1;FI;SE1 3;SE_1;0.16;5.59;3396.21;AC Line;;
13;FI1 3;FI;SE1 12;SE_1;0.03;0.58;1787.48;AC Line;;
