snapshot,SE_3,FI,NO_1,NO_2,NO_3,NO_4,NO_5,SE_4,SE_2,DK_2,SE_1
2023-01-01 00:00:00,190.54637145996094,324.6255874633789,298.29542541503906,359.2574920654297,-659.5530090332031,237.65348052978516,248.99903869628906,1458.4679489135742,579.6882858276367,153.7979278564453,-527.2177886962891
2023-01-01 01:00:00,65.49707794189453,456.1391143798828,271.9201354980469,309.8905715942383,-758.3905029296875,205.5242462158203,199.4417724609375,1448.7274856567383,678.7671890258789,137.53791046142578,-546.3826370239258
2023-01-01 02:00:00,-1.8923721313476562,605.9093551635742,215.2633056640625,278.9747009277344,-860.0177230834961,229.4988250732422,158.65601348876953,1492.406494140625,463.99796295166016,177.6331024169922,-652.6069793701172
2023-01-01 03:00:00,35.90692901611328,740.5039825439453,255.13677978515625,269.68392181396484,-786.8234710693359,208.7169189453125,167.50030517578125,1542.789924621582,324.08081817626953,245.71649932861328,-624.9798355102539
2023-01-01 04:00:00,137.41999053955078,804.9094314575195,342.3446350097656,283.4666442871094,-715.4159622192383,247.47677612304688,196.73931121826172,1618.079833984375,204.13047790527344,324.33960723876953,-628.4546432495117
2023-01-01 05:00:00,210.93671417236328,547.3012924194336,429.9686584472656,368.9097595214844,-881.5467834472656,328.9533462524414,253.69820404052734,1716.4525985717773,470.76570892333984,428.5799331665039,-458.0650863647461
2023-01-01 06:00:00,313.04736328125,787.1392211914062,411.53575897216797,387.41796112060547,-701.0341567993164,512.7650451660156,207.822998046875,1732.8457336425781,608.6728820800781,541.262809753418,-421.21398162841797
2023-01-01 07:00:00,401.46282958984375,643.0581893920898,445.4737854003906,600.7878112792969,-656.2638320922852,624.4896011352539,287.59527587890625,1690.7465438842773,535.5413589477539,626.0330200195312,-423.9392318725586
2023-01-01 08:00:00,483.55399322509766,718.6122970581055,381.31005096435547,821.5188980102539,-639.4074020385742,595.9424591064453,317.7029495239258,1677.0618515014648,537.2123413085938,671.5333709716797,-452.3382339477539
2023-01-01 09:00:00,583.8226623535156,741.2339935302734,383.0930938720703,946.6305465698242,-574.6211013793945,666.5527191162109,337.40245819091797,1803.8330764770508,579.9786071777344,638.3271942138672,-388.47879791259766
2023-01-01 10:00:00,599.5122985839844,701.4232482910156,315.28858184814453,886.0872116088867,-579.6595306396484,642.0574264526367,340.39588928222656,1801.9152603149414,702.8153076171875,574.597053527832,-431.62352752685547
2023-01-01 11:00:00,427.5077133178711,662.0854187011719,261.31300354003906,655.6442947387695,-687.4143371582031,633.3705062866211,275.6450653076172,1856.1687927246094,712.9215469360352,488.1525421142578,-401.4162368774414
2023-01-01 12:00:00,262.67407989501953,626.9367523193359,278.4027328491211,596.0519180297852,-648.2997207641602,639.5842208862305,355.30604553222656,1737.3761825561523,556.2599716186523,418.61871337890625,-423.75083923339844
2023-01-01 13:00:00,-45.70794677734375,878.8692626953125,239.77000427246094,617.5981216430664,-636.3283996582031,586.6747894287109,372.52758026123047,1749.2208862304688,670.6619491577148,395.8905487060547,-464.24647521972656
2023-01-01 14:00:00,-265.69677734375,1014.1397323608398,169.04315948486328,762.2313842773438,-594.0514907836914,601.3352508544922,336.17835998535156,1732.4693908691406,449.41878509521484,451.5097198486328,-197.65345764160156
2023-01-01 15:00:00,-342.5562744140625,731.6397476196289,170.33200073242188,705.4110336303711,-604.6889266967773,582.8759002685547,367.2587432861328,1780.5251998901367,451.01085662841797,698.9647827148438,-237.88758850097656
2023-01-01 16:00:00,-415.1695861816406,780.6802520751953,14.491043090820312,610.0795974731445,-817.7717819213867,643.0095596313477,353.99935150146484,1808.8552322387695,508.8555221557617,848.2333602905273,-175.44837951660156
2023-01-01 17:00:00,-308.7187728881836,656.1937866210938,-23.015167236328125,650.9165573120117,-860.9947814941406,670.8820266723633,331.3766098022461,1814.8288345336914,317.61084747314453,707.8860168457031,-179.53778076171875
2023-01-01 18:00:00,-274.45579528808594,487.9369659423828,-51.21501922607422,691.9545516967773,-662.5360946655273,530.1608428955078,360.47338104248047,1775.761703491211,270.82225799560547,610.7566528320312,-305.55030059814453
2023-01-01 19:00:00,-266.9762496948242,386.13951873779297,-22.92510223388672,770.419189453125,-592.2334976196289,480.2928237915039,273.2794723510742,1724.3061218261719,519.6014251708984,568.2681274414062,-187.80419158935547
2023-01-01 20:00:00,-238.78953552246094,1057.220817565918,-35.52466583251953,755.5331954956055,-621.8574905395508,543.1293334960938,381.5697479248047,1770.2550048828125,538.4843063354492,530.8590545654297,-185.96034240722656
2023-01-01 21:00:00,-254.4011459350586,474.6125793457031,-26.675308227539062,521.7803573608398,-656.2617492675781,497.2314453125,342.4068069458008,1729.4841079711914,501.5924835205078,460.0054473876953,-238.8152313232422
2023-01-01 22:00:00,-236.0666732788086,121.01782989501953,-121.05789947509766,320.78269958496094,-790.6720428466797,413.4577407836914,240.99755859375,1669.2262268066406,241.88580322265625,391.4236831665039,-286.62770080566406
2023-01-01 23:00:00,-238.8902359008789,143.59877014160156,-85.60826110839844,237.10584259033203,-779.1589431762695,475.1174621582031,219.02816772460938,1685.5902709960938,266.32005310058594,352.373779296875,-300.4485092163086
